id_cliente,id_produto,id_vendedor,quantidade_vendida,valor_total_venda,desconto,Teve Desconto?,data_venda
"3514","17","3",4,"249,7766",0,"Não","2023-07-30 00:00:00,000"
"4403","22","3",4,"114,2514",0,"Não","2022-04-19 00:00:00,000"
"3401","12","3",4,"188,1776",0,"Não","2023-03-23 00:00:00,000"
"2576","99","3",4,"133,1886",0,"Não","2022-07-06 00:00:00,000"
"4160","37","3",4,"203,2735",0,"Não","2022-11-07 00:00:00,000"
"3111","79","3",4,"99,1868",0,"Não","2023-09-08 00:00:00,000"
"4663","26","3",4,"127,8359",0,"Não","2023-12-13 00:00:00,000"
"724","63","3",4,"100,8714",0,"Não","2023-03-12 00:00:00,000"
"1317","45","3",4,"393,0092",0,"Não","2023-02-10 00:00:00,000"
"3123","71","3",4,"71,9277",0,"Não","2024-02-13 00:00:00,000"
"4894","5","3",4,"200,0422",0,"Não","2022-10-14 00:00:00,000"
"2390","98","3",4,"212,1406",0,"Não","2023-09-20 00:00:00,000"
"4512","20","3",4,"193,9389",0,"Não","2022-03-22 00:00:00,000"
"4494","71","3",4,"71,9277",0,"Não","2023-07-31 00:00:00,000"
"220","57","3",4,"253,8289",0,"Não","2023-10-20 00:00:00,000"
"614","81","3",4,"169,9843",0,"Não","2023-07-10 00:00:00,000"
"4596","59","3",4,"171,6767",0,"Não","2023-09-18 00:00:00,000"
"3974","13","3",4,"163,7401",0,"Não","2023-12-27 00:00:00,000"
"1644","80","3",4,"150,6911",0,"Não","2022-07-13 00:00:00,000"
"1130","97","3",4,"174,4122",0,"Não","2023-01-06 00:00:00,000"
"530","77","3",4,"201,6709",0,"Não","2023-01-24 00:00:00,000"
"1678","46","3",4,"262,7683",0,"Não","2022-10-12 00:00:00,000"
"3261","92","3",4,"99,3938",0,"Não","2023-08-19 00:00:00,000"
"3260","13","3",4,"163,7401",0,"Não","2023-03-28 00:00:00,000"
"519","13","3",4,"163,7401",0,"Não","2022-11-21 00:00:00,000"
"4897","7","3",4,"84,4916",0,"Não","2022-09-27 00:00:00,000"
"833","3","3",4,"188,8443",0,"Não","2023-10-30 00:00:00,000"
"257","34","3",4,"248,255",0,"Não","2023-10-26 00:00:00,000"
"3402","18","3",4,"108,8934",0,"Não","2023-09-14 00:00:00,000"
"1158","71","3",4,"71,9277",0,"Não","2022-03-20 00:00:00,000"
"4809","28","3",4,"290,0348",0,"Não","2022-08-13 00:00:00,000"
"3946","74","3",4,"68,5449",0,"Não","2022-01-17 00:00:00,000"
"4138","23","3",4,"75,6993",0,"Não","2022-02-02 00:00:00,000"
"1168","35","3",4,"156,4709",0,"Não","2023-04-10 00:00:00,000"
"3126","37","3",4,"203,2735",0,"Não","2022-09-27 00:00:00,000"
"1395","43","3",4,"-4,9867",0,"Não","2022-07-16 00:00:00,000"
"219","45","3",4,"393,0092",0,"Não","2022-01-12 00:00:00,000"
"2043","83","3",4,"302,5315",0,"Não","2023-06-07 00:00:00,000"
"806","25","3",4,"230,1128",0,"Não","2023-06-17 00:00:00,000"
"1826","35","3",4,"156,4709",0,"Não","2023-10-07 00:00:00,000"
"3487","92","3",4,"99,3938",0,"Não","2023-01-03 00:00:00,000"
"2300","7","3",4,"84,4916",0,"Não","2023-06-07 00:00:00,000"
"2662","30","3",4,"331,4138",0,"Não","2022-10-14 00:00:00,000"
"749","76","3",4,"332,9176",0,"Não","2023-06-15 00:00:00,000"
"2006","70","3",4,"319,1891",0,"Não","2023-05-22 00:00:00,000"
"4195","13","3",4,"163,7401",0,"Não","2022-05-28 00:00:00,000"
"783","38","3",4,"119,825",0,"Não","2024-01-06 00:00:00,000"
"3016","80","3",4,"150,6911",0,"Não","2023-02-17 00:00:00,000"
"41","48","3",4,"178,9687",0,"Não","2022-02-08 00:00:00,000"
